2016-01-27 15:39,#六小龄童节目被毙##六小龄童节目被毙##六小龄童上春晚#数万网友微博回忆童年，呼吁“美猴王” 上春晚。”没有美猴王的猴年春晚还完整吗？“  ”不管有多少孙悟空，您都是我心中唯一美猴王“。 六小龄童@六小龄童 回应：若春晚需要我义不容辞！O网页链接回顾六小龄童经典演绎，啥都不说，让眼泪飞会儿！,3079
2016-02-29 12:31,#城管拆违建遇袭死亡##城管拆违建遇袭死亡#29日上午，宁波“北仑发布”公布一起城管遭暴力抗法信息：2月29日08时40分，北仑霞浦街道城管队员在九峰北路附近送达执法告知书过程中，4名城管队员遭遇暴力抗法，已送往医院抢救，截至29日11时，2名城管队员经抢救无效死亡，另2名城管队员目前生命体征平稳。O浙江4名城管遭暴力抗法致2死,2294
2016-02-22 13:51,#16岁新郎娶同岁新娘##16岁新郎娶同岁新娘#  近日，一个名为“广西宾阳13岁新郎迎娶16岁新娘”的网帖火了，照片上两人都长着一张娃娃脸。经调查，这对新人实为马山人，已认识一年多，均满16岁。“家长是支持我们的，要不然也不会办几十桌的喜酒。”新娘还否认了怀孕说法。你怎么看？O广西16岁新郎迎娶同岁新娘.图,1217
2016-02-20 22:19,#工人提引力波遭讽##工人提引力波遭讽# 五年前有一位被称为“诺贝尔哥”的民间科学家曾提到过引力波，当时遭方舟子嘲笑，巧的是五年后，引力波被证实了。不少网友表示，他的理论未必靠谱，但主持人和嘉宾的不尊重让人气愤。看完视频，你的感受是？O工人5年前提引力波遭嘲讽_新浪视频,1940
2016-02-08 10:05,#春晚总导演:给春晚打100分##春晚总导演:给春晚打100分# 春晚总导演吕逸涛：本届春晚我给一百分，对于观众对春晚的反馈，好的建议我们可以吸纳，不好的建议我们可以置之不理。O春晚总导演称交出满意答卷,6478
2016-02-04 17:27,#福建莆田命案改判##福建莆田命案改判#福建莆田21年前抢劫杀人案今日宣判，4人无罪释放。春节临近，对这起案件能够进行当庭宣判，体现了法院对当事人和家属的人文关怀。更多详情： O福建莆田:22年前存疑命案改判无罪,1668
2016-03-29 10:46,#来世做男友女儿##来世做男友女儿# 近日，贵州一位骨癌女孩在男友怀里安详地走了。几年前，小艺被确诊为骨癌。男友小付一直无法接受这个现实，他把她当做宝贝。离世前女孩在网络上说：“我该启程了，去那美丽的地方。希望他能找到一个很好的女生，也许来世我还能投胎做他女儿。”O贵州骨癌女孩在男友怀里离世,5074
2016-03-28 13:42,#撒贝宁领证##撒贝宁领证# 没有一点点防备，撒贝宁领证结婚了！网曝撒贝宁与外籍女友李白在北京朝阳领证，现场照曝光>>O网曝撒贝宁结婚,2076
2016-03-27 10:32,#犹豫一晚房价涨十万#【深圳夫妻#犹豫一晚房价涨十万# 】深圳一对年轻夫妻肠子都悔青了，“想想如果昨天不犹豫，我们等于多赚了10万”。为还房贷不敢逛街，不敢搭车，做着几份兼职。无论是南方的深圳，还是北方的帝都，房价已然成为年轻一代共同的痛楚。“房价猛于虎”的当下，你的处境又是怎样？O深圳夫妻犹豫一晚房价涨10万,1215
2016-03-26 14:04,#90后断崖式减少##90后断崖式减少#少壮不养孩，老大徒伤悲。专家称，90后人口数量相比前几代已“断崖式减少”，而当90后成为社会生育的主流人群后，婴儿出生率将会更低。房子，户口...什么是我们不生娃的原因？O专家:90后数量断崖式减少,1611
2016-03-26 09:38,#男老师殴打7女生#【甘肃#男老师殴打7女生#：从讲台踹到后墙】近日，一段名为“甘肃环县二中老师用暴力殴打学生，望社会给予说法”的视频刷爆网络。视频上，一名男子在教室内采用拽头发、打脸、脚踹等方法，先后殴打多名女生，从讲台踹到后墙。现场曝光：O甘肃男老师教室内暴打7名女生,2165
2016-03-25 18:55,#日本捕杀怀孕雌鲸#【日本捕鲸船捕333头鲸多数是怀孕雌鲸】尽管遭受舆论谴责，日本仍于去年派出捕鲸船往南极海域。昨日，捕鲸船返回。据报道，此次日本捕杀333头小须鲸，多数是怀孕雌鲸；日还称此次捕鲸是 “研究管理小须鲸种群的最好方法”。看看照片，转发表明你的态度！#日本捕杀怀孕雌鲸# O日本捕鲸船捕大部为怀孕雌鲸,1863
2016-03-24 17:23,#问题疫苗流入18省##问题疫苗流入18省# 公安部、卫计委、食药监总局就“山东问题疫苗事件”举行记者会，截至目前各地已控制25名涉案者。新浪新闻为您带来图文直播>>O三部委联合通报非法经营疫苗案进展,2891
2016-03-23 11:17,#问题疫苗流入18省#【关于#问题疫苗流入18省# ，你最关注的问题是？】R关于#问题疫苗流入18省# ，你最关注的问题是？,3182
